c1c(cccc1)O/C(=C/C=C/OC)/C	N#CSCCOc1ccc(Oc2ccccc2)cc1	COc1cc(ccc1O)c1ccc(O)c(O)c1
C=C/C(=N\CNC1[C@@H]([C@H](O)[C@H](O1)CNCc1ccncc1)O)/N	Nc1ccn([C@@H]2O[C@H](CNC(=O)c3ccncc3)[C@@H](O)[C@H]2O)c(=O)n1	Nc1ncnc2n(cnc12)[C@@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n1cc(nn1)C#N
C/C=C\c1cc(ccc1C)C(=O)N(CCCN(C)C1Cc2ccccc2C1)CCO	COCCN(CC1CCCN(C1)C1Cc2ccccc2C1)C(=O)c1ccc2ccccc2c1	OC1(Cc2ccccc2)cC[C@@H]1CNC[C@@H](C1)C(=O)c1ccc(Cl)cc1)c1cccc(Cl)c1
O=CNC[C@@H](OCC(=O)O)[C@@H]([C@@H](CO)O)O	CC(=O)N[C@@H]1[C@@H](O)C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(=O)O	OC[C@H]1O[C@@H](NC(=O)C(=O)O)[C@@H](O)[C@@H](O)[C@H]1O
c1cccc(c1)/C(=C\O)/C(=O)N([C@H](C(=O)N)C)CCNC(=O)c1cc(nn1C)CC	CCNC(=O)[C@@H]1C[C@H](CN1C(=O)c1coc2ccccc12)NC(=O)c1cc(CC)nn1C	CC(C)C[C@H](CN(C)c1ccc(cc1)c1ccccccccccccccccccccccccccccccccccccccccc
[C@@H](O)(C)CC[C@@H](O)CNCC(=O)Nc1ncccc1	OC[C@H]1O[C@@H](NC(=O)C(=O)Nc2ccccn2)[C@H](O)[C@@H](O)[C@@H]1O	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(=O)n1
C(=C)(/C(=C(/C(C)C)\C)/S(=O)(=O)O)C(C)C	CC(C)c1cc(C(C)C)c(c(c1)C(C)C)S(=O)(=O)O	CC(C)(C)c1cc(c(C)c(cc1)c1c(C)C)nc(c1)[N+](=O)[O-]
NCON=C(c1cc(c(cc1)O)OC1CCCC1)C	COc1ccc(cc1OC1CCCC1)C(=NOC(=O)N)C	CCCCOc1ccc(ccCcC(C(C(CNC(CCCCCCcCcCcCOOO)O)OO)O
C/C=C/C(=N\NC=N)/Cc1ccc(Oc2ccccc2)c(Br)c1	Cc1cc(Oc2ccc(Cc3n[nH]c4nnccc34)cc2Br)cc(c1)C#N	NC(=O)c1cccccccccccccccccccccccccccccccccccccccccc
N(C)CNC/C(=C(/C=C)\C)/C(=C)C(C)/C(=C/C)/C=C	CN(C)C(=O)N1CC(c2cccc(O)c2)c2ccc(C)c(C)c2C1	CN(C)C(=O)c1ccccccccccccccccccccccccccccc
[C@@H]1(N(CC)/C=N/C=N\C(=C)N)O[C@H](CN(C)C)[C@@H](O)C1	CN(C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1c(C)nc2c(N)ncnc12)CC(=O)N	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
C(=C\C=C\C1=C(N(C(=O)C/C/1=C\C(=C)OCC(=O)N)CC)CN)\C=C	CC(C)Cn1c(CN)c(c2ccccc2)c2cc(OCC(=O)N)ccc2c1=O	NC(=O)c1cccc(c1)c1cccccccccccccccccccccccccccccccccccccc
O=S(=O)(O)NC(=C)/C=C\CC[C@@H](C)N(C)C(=O)CCC/C=C(\C=C/C)/C(=O)O	CNC(=O)[C@@H]1Cc2ccc(NS(=O)(=O)O)cc2CN1C(=O)CCc1cccc(c1)C(=O)O	OC(=O)[C@H](CCSC[C@H](NC(=O)c1ccc(cc1)c1ccccc1)(c1ccccc1)(C)C)C(=O)O
[nH]1c2c(cc1CN[C@@H](CCC=C)C(=O)NCC(C)C(=O)O)cc(cc2)Cl	OC(=O)C1CN(C1)C(=O)[C@H](Cc1ccccc1)NC(=O)c1cc2cc(Cl)ccc2[nH]1	CC(C)C[C@H](CC(=O)O)C(=O)Nc1ccc(cccccccccccccccccccccccccccccccccc
n1cc(cnc1N)/C=C/C=C/C=C\C=C	Cc1c(ccc2nc(N)nc(N)c12)c1ccccc1	NC(=O)c1ccccccccccccccccccccccc
OC/C(=C/C)/C=C\CNC(=O)c1[nH]c(=C)/c(=C\CCl)/c1	OCC(O)c1ccc(NC(=O)c2cc3cc(Cl)ccc3[nH]2)cc1	OC(=O)c1ccccccccccccccccccccccccccccccccccccc
C=C/C=C\1/N=C(SC1)NCCCN/C=N\c1cccnc1	COc1nc2cccnc2n1[C@H]1C[C@@H](C1)Nc1nc2ccccc2s1	Cc1nc(nccc(n1cCccccccccccccccccccccccccc
N(Cc1ccc(cc1)S(=O)(=O)N)CC(=C)/C=C\C=C	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1c(F)cccc1F	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccc(ccc1c1)Cc1c(F)ccc
C(N/C=C/C=C/C(=C)C(F)F)C[C@@H](CC)C=C	CC[C@@H]1[C@H](C)CNc2cc3oc(=O)cc(c3cc12)C(F)(F)F	CC[C@@H]1[C@H](C)CNc2cc3[nH]c(=O)cc(c3cc12)C(F)(F)F
OP(=O)(O)C(/C=C/C)NCc1ccccc1	OP(=O)(O)C(NCc1ccccc1)c1ccccc1	OP(=O)(O)C(Nc1ccc(O)c(I)c1)c1ccccc1
N(/C(=C/C=C)/C=C/O)/C(=N/C)/N=C/C=C/N=C/NC	CNc1nc(C)c(s1)c1nc(Nc2cccc(O)c2)ncc1C#N	CN(C)c1ccccccccccccccccccccccccccccccccccc
ONC(=C)/C=C(\C(=C\NO)\O)/O	Oc1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]	OC(=O)c1cc(ccccccccccccO)OO()OOO)OO
C=C/C=C(/C(=O)NC(=O)NCCCO/C(=C/C=C)/C)\S	On1c(=O)n(CC2COc3ccccc3O2)c2ccsc2c1=O	OC(=O)CCCcc(cccccccccccccccccccccccccccccO)
C(CCOC)(C)O/N=C/C(=C/C)/C=C	COC(=O)CC1CC(=NO1)c1ccc(O)cc1	CCOC(=O)c1c(C)ccccCC)CC)CCcC)cC
C(=C\CN(CC(F)(F)F)S(=O)(=O)/C=C/C)\C(=C)C(O)(C(F)(F)F)C(F)(F)F	OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c1ccccc1)(C(F)(F)F)C(F)(F)F	OC(=O)CCC(C1(C)C(=O)N(c1ccc(cc(cccccccccc(c)cc()cccccc)c)c)
NCNC/C(=C/NCC[C@H](O)CCOP(=O)(O)O)/N	Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
O=P(O)(O)CCCOC(=C)/C=C/1\CN(CC(=C)C=C)C(=C1CC(=O)N)C	Cc1c(CC(=O)N)c2cc(OCCCP(=O)(O)O)ccc2n1Cc1ccccc1	NC(=O)c1ccc(cc1)c1cccc(Ccc(Ccc()cc()c)c()cc)c)c))O))O))O)O)O)O
C(=O)([C@@H](CO/C(=C/C=C/Cl)/C=C/F)C)N/C(=C/C=C/C#N)/C=C	C[C@](O)(COc1ccc(Cl)c(F)c1)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F	N[C@@H](CC(=O)O)C(=O)c1ccc(Cl)cc1C(=O)NCc1ccc(ccccccc)c
C/C=C\C=C/1\N(C(=CC1)C[C@@H](CC)CO)CC(=O)N[C@H](Cc1ccccc1)C(=O)O	OC(=O)[C@@H](Cc1ccccc1)NC(=O)Cn1c2C[C@@H](CCc2c2cc(Br)ccc12)C(=O)O	OC(=O)[C@H](CCCCNC(=O)c1ccc(I)cc1)NC(=O)c1ccc(I)cc1
Cc1c(C)cc2c(c1)NCC(=C2)CN(C(=S)Nc1ccccc1)CC	COc1cccc(NC(=S)N(CCO)Cc2cc3cc(C)c(C)cc3[nH]c2=O)c1	Cc1ccc(cc1)c1ccccccccccccccccccccccccccccccccccccccc
S/C(=C\N=C\NC(=O)C(=C)COC(=O)C)/NO	CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+](=O)[O-]	CC(=O)c1ccccccccccccccccccccccccc))O
O(C)/C(=C/CC/N=N\NCC(=O)Nc1n(nc(CC)c1)c1ccccc1)/C(=C\C)/n1cnc(C)c1	COc1cc(ccc1n1cnc(C)c1)c1cn(CC(=O)Nc2cc(nn2c2ccccc2)C2CC2)nn1	COc1cc(Nc2ncc3ccn(c4ccccc4)nc3n2)cc(OC(=O)N)c(Cl)cc1Cl
C1C2CC(CC(C2)CC1)NCCCCCCCCNCCc1ccc(N(C)C)cc1	CN(C)c1ccc(CC(=O)NCCCCCCCCNC23CC4CC(CC(C4)C2)C3)cc1	Cc1cccc(c1)C(CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCcccccc
C(C)(N1C=C(/C(=C(/N=C\N)\N)/C1)C(=O)c1nc(cnc1)NCCc1ccc(cc1)F)C	CC(C)n1cc(C(=O)c2cncc(N[C@@H]3COC[C@@H]3c3ccc(F)cc3)n2)c2c(N)ncnc12	CC(C)((ccccccccccccccccccccccccccccccccccccccccccccccccccc)c))c)
Nc1[nH]c(=O)c2c(n1)[nH]c(c2)CCCCCCC(=O)N[C@@H](CC)CO	Nc1nc2[nH]c(CCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	Nc1nc2[nH]c(CCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1
C(=C\C(=C\N)\C=C\OC[C@H](Cc1ccccc1)N)/c1cccc(O)ccncc1C(=N)N	COc1cc2ncc3c(N)nc(cc3c2cc1OC)c1cncc(OC[C@@H](N)Cc2ccccc2)c1	NC(=[NH2+])c1ccc2[nH]c(cc2c1)c1ccc(Oc2ccc3[nH]c(N)c(C#N)c3c2)cc1
N(=C\C=C/C/C(=C\C/C=C/C=N\C)/NC)/N	Cc1cc2n[nH]c(=O)n2c2cc(ccc12)c1ccncc1	CN(C)c1ccccccccccccccccccccccccccc
C(/C(=C\C)/O)/C=C/c1ccccc1N	NC(=[NH2+])c1ccc2[nH]c(cc2c1)c1ccccc1O	NC(=O)c1ccccccccccccccccccccccc
C(C)NCC/C(=C(/CC)\SCNC(=O)/C(=C/C=C)/S)/CC(C)C	CCN(CC)C(=O)c1c(NC(=O)c2cccs2)sc2CCC(C)(C)Cc12	CC(C)CC(C)C(=O)c1cccc(c1)c1cccC(NC(CCCCccCccccccccccc
C(=C\C=C(/C)\CS(=O)(=O)N(C)CCCNc1cc2c(c3c(s2)c(c(s3)C(=O)O)O)cc1)\C	OC(=O)COc1c(sc2c1sc1cc(NC3CCN(CC3)S(=O)(=O)Cc3ccccc3)ccc21)C(=O)O	OC(=O)CC[C@@H](NC(=O)CCc1nc2ccc3CN(CC3)S(=O)(=O)c3cc12)C(=O)O
C(CC)S(=O)N[C@H](C(=O)O)CNC(=O)c1ccc(c(c1)C)CNCCCCCNCC	CCCCCS(=O)(=O)N[C@@H](CNC(=O)c1ccc2CN(CCC3CCNCC3)C(=O)c2c1)C(=O)O	CC(C)C[C@C(C(CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(C(CCCC)cCc)c)c)c)cO)CC
N/C(=C/C)/N(CN)CC[C@H](O)CCOP(=O)(O)O	Nc1cc(=O)[nH]c(=O)n1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
C=C/C=C/NC(=O)/C=C/C=C(\C=C)/CNS/C(=C/C=C(\C)/C(C)(C)C)/C	CC(C)(C)c1ccc(cc1)S(=O)(=O)NCc1ccc(cc1)C(=O)Nc1cccnc1	CC(C)(C)c1ccc(cccccccccccccccccccccccccccccccccccccccccc
CC(C)[C@@H](NC(=S)N)c1cc(ccc1)O	CCOC(=O)C1[C@@H](NC(=S)N=C1C)c1cccc(O)c1	C[C@]1(CSC(=O)C(=O)c2ccccc2)[C@@H]1c1cc()ccc
C/C=C(/S=O)\C=C/Cc1ccc(C)c(F)c1	NS(=O)(=O)c1ccc(cc1)c1ccc(c(F)c1)C(F)(F)F	Cc1c(F)cccc1S(=O)(=O)c1c(C)nc(cc1F)c1ccccc1
C(C(=O)O)/C=C\CC(=O)N(C)CCN(CC)C(=O)C[C@@H](Cc1ccc(cc1F)F)N	N[C@@H](CC(=O)N1CCCN(CC1)C(=O)c1ccc(cc1)C(=O)O)Cc1cc(F)c(F)cc1F	N[C@@H](CC(=O)N1CCC(CC1)C(=O)NCc1c(F)c(F)c(F)c(F)c1F)C(=O)Nc1ccc(Cl)cc
c\1(=C/C=C/OC)/c(=C/C=N/NC/C=C/C=C(/O)\C=C)/cccc1	COc1ccc2ccccc2c1/C=N/NC(=O)c1ccc(O)c(O)c1	COc1cc(ccc1ccccccccccccccccccccccccccccccccccccc
C(=C\C=C/C/C(=C/C)/C=C\CC/C=C(\C)/C(=O)O)\C	NC(=O)c1cc(cc(c1)c1ccc(cc1)c1ccccc1)C(=O)O	OC(=O)c1ccccccccccccccccccccccccccccccc
N(=C(\C(=C(/N)\N=C)\N)/N1CCOCC1)\C	NCC1CN(CCO1)c1ncnc2nc[nH]c12	NC1=N)N(CCO1)c1c(Cc2cn(C)cc(OC)c2)c1
C(=C\F)/C(=C\C(=C)Nc1nc(C#N)ncc1/N=C\N)/F	CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(nc12)C#N	Cc1nc(nc(Nccc(nccccccccccccccccccccccccc
c1c(cc(CCCCCOC(CC/C(=C/C(=C)C)/N)C)nc1)C	Cc1ccnc(CCCCCO[C@H]2CNC[C@H]2Cc2cc(C)cc(N)n2)c1	Cc1c(CC(C)(C)CC(=O)O)C(C)(C)c2cnc(N)ccc2C1
C(=N)/C(=C\CCCCNC)/CCc1nccc(C)c1	CN(C)CCCc1cncc(CCc2cc(C)cc(N)n2)c1	Cc1cccc(cn1)C(=O)NCCC(CC1(C)C)c1ccccc1
c1(Nc2sc(cn2)C(=O)N/C=C/C=C(\C)/OCC=C)cc(N(CCNCC)CC)nc(C)n1	Cc1nc(Nc2ncc(s2)C(=O)Nc2ccc(Oc3ccccc3)cc2)cc(n1)N1CCN(CCO)CC1	CN1CCN(CC1)c1ccc(CNc2ccc(ccccccccccccccccccccccccccccccccC1c111
c1ccc(cc1BO)NS(=O)C(=C)S/C=C/S(=O)C/C=C\C=C	OB(O)c1cccc(NS(=O)(=O)c2cc(cs2)S(=O)(=O)c2ccccc2)c1	OP(=O)(O)C(Nc1ccccccccccccccccccccccccccccccc))c)
C(=C)/C=C(\C)/CN(c1cc(C(=O)CC(=O)C(=O)O)ccc1)CCC	OC(=O)C(=O)CC(=O)c1cccc(c1)N(Cc1ccccc1)Cc1ccccc1	OC(=O)C1CCN(CC1)C(=O)c1ccccccccccccccccccccccccccc
C(=C\NC1[C@H](O)[C@H]([C@H](O)[C@@H](C)O1)O)/c1ccccccccc1	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n1cc(nn1)c1ccc2ccccc2c1	OC[C@H]1O[C@@H](NC(=O)C(=O)c2ccccc2cc1ccccccccccccccc))))))))c)c))
C(F)(F)c1ccccc1CNCC1CCN(CC1)/C(=N/C)/N=C/C	CNc1nc(C)nc(n1)N1CCC(CC1)C(=O)NCc1ccccc1C(F)(F)F	Fc1ccc(cn1)C(=O)NCCC(C)(C)C(C1)c1cccc(c1)c1cccccccccccccc
N1(CCOCC1)C(=O)N[C@H](C(=O)NC(C)C#N)CC(CC)CCC	CN1CCC(CC1)(NC(=O)[C@H](CC1CCCCC1)NC(=O)N1CCOCC1)C#N	CCCCCCCCCCCCCCCCCCCCCCCCCC(C(C(CCCCCCCCCCCCCCCCCCC)C)C)C)C
[C@@H]1([C@H](O)[C@H]([C@H](O)[C@H](O1)C)O)NCc1ccccc1	OC[C@H]1O[C@@H](NC(=O)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O	OC[C@H]1O[C@@H](NC(=O)C(=O)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O
C(=O)(CCCN(C)/C=C/C=C\C=C)O	OC(=O)CCCn1c2ccccc2c2ccccc12	OC(=O)C1CCN(Cc2ccccc2)cc1c1ccccc
C(=C)/C=C\C(=C)/C=C/C(=C\C)/C=C/C(=C\C=C)/C(P(O)O)P(=O)O	OC(c1cccc(c1)c1cccc(c1)c1ccccc1)(P(=O)(O)O)P(=O)(O)O	OC(=O)c1ccccccccccccccccccccccccccccccc)()ccc))O))O))OOc))
s1c(nc(c1/C(=N/C(=N\C)/Nc1cc(ccc1)Cl)/C)C)C	CN(C)c1ccc(Nc2nccc(n2)c2sc(C)nc2C)cc1Cl	Cc1nc(C)c(s1)c1nc(Nc2cccc(c2)C(F)(F)F)cc1
FC/C=C\COCCS/C=N/N=C(\NC)/C(C)NC(=O)c1c(F)cccc1F	CC(NC(=O)c1c(F)cccc1F)c1nnc(SCCOc2ccc(F)cc2)n1C	CC(NC(=O)c1ccccc1C(F)(F)F)c1nnc(SCCOc2ccc(F)cc2)n1C
O=C(O)CCCNCCCCCCCCCNc1cc(=O)[nH]c(n1)N	Nc1nc2[nH]c(CCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	Nc1nc2[nH]c(CCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1
C#CCCCN(c1c(c(nc(n1)F)N)N)CC/C(=C(/COC)\Cl)/C=C/O	COc1cc(Cc2nc3c(N)nc(F)nc3n2CCCC#C)c(Cl)c(OC)c1OC	COc1cc((c(ccccccccccCccccccccccCcccccc)c))C)c()cc)c)
C(CN(C)CC)NCN/C=C/C=C(/CC)\C(=C)CNC(=O)/C(=C/C=C)/C	CN1CCN(CC1)C(=O)Nc1ccc2CCCC(NC(=O)c3ccccc3)c2c1	CC(C)CC(CCCCCCCCCCCCCCcCcccccccccccccccccccccccccccccccccccc
C(=C\C(=C)C(P)NCc1ccccc1)\C=C	OP(=O)(O)C(NCc1ccccc1)c1ccccc1	NC(=O)c1cccccccccccccccccccccccccc
C(c1cc(C)ccn1)CCOCCCCCC/N=C\C=C\C	Cc1ccnc(CCCCCO[C@H]2CNC[C@H]2Cc2cc(C)cc(N)n2)c1	Cc1cccc(c1cCcnccCcCcccccccccccccccccc
C=C(F)/C=C/Oc1c(c2ccnc(c2n1c1ccccc1)Cc1ccccc1)C(=O)N1CCNCC1	Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2ccnc(Cc3ccccc3)c2n1c1ccccc1	FC(F)(F)c1ccccc1c1CccCCccccccccccccccccccccccccccccccccccccccc
C(=C\C=C\C1(CCCC1)c1cc2c(cc1C)CCCC2(C)C)/C	C/C(=C\C(=O)O)/C=C/C1(CCCC1)c1cc2c(cc1C)C(C)(C)CCC2(C)C	C/C(=C\C(=O)O)/C=C/C1(CC1CC1)C(=O)c1ccCc2c(C)cc(C)cC2C1
C1(CCCCC1)C#Cc1cccc(N(c2ncncn2)C(=N)C)c1	Cc1nc2ccc(cc2n1c1ncnc(N)n1)C#CC1(O)CCCCC1	Cc1nc(nc(NCCcncccCcccccccccccccccccCcC
C(#N)c1ccccc1S(=O)c1ccccc1	Cc1cc(C)cc(c1)S(=O)(=O)c1cccc(N)c1C#N	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccc(F)cc1
Cc1nc2ccc(cc2n2c1nnc2C(=C)/C=N\C=C)CN1CCOCC1	CCCCOc1cncc(c1)c1nnc2c(C)nc3ccc(CN4CCOCC4)cc3n12	NC(=O)c1ccc(Nc2nc(cn2cc(cccccccccccccccccccccccccccc
Cn1c(c/c(=C/C=C/C=C\C=C)/c1=C)C	OC(=O)Cn1c(cc2ccc3ccccc3c12)C(=O)O	CC(=O)c1cccccccccccccccccccccc
C=C/C=C(\C)/C=C(/C(=C)NC(=C)/C=C\CCNCCC(C)CC)\C	NCC1CCN(Cc2ccc3[nH]c(cc3c2)c2cc3ccccc3[nH]c2=O)CC1	CC(C)C(=O)C(=O)CC(=O)c1ccc2c(c1)n(Cc2ccccc2)c2ccccc2c1
CN(C)CC(O)COc1ccc(cc1)NC(=N)/N=C/CN1C=CC=CC1	CN(C)CC(O)COc1ccc(Nc2nccc(n2)c2c(C)nc3ccccn23)cc1	CC(C)C(NC(c1ccccccccccccccccccccccccccccccccccccc
CCCC(NCc1cc2c(cc1)C(=CC2)N/N=C/c1ccc(cc1)C=O)C	CC1CCC(CC1)NCc1ccc2-c3c(Cc2c1)c(n[nH]3)c1ccc(cc1)C(=O)O	CC(C)Cc1cccccccccccccccccccccccccccccccccccccccccccccccccc
NOCCN(C)CC1O[C@@H](N/C=N\C=C\N)[C@H](O)[C@@H]1O	CN(CCON)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1c(C)nc2c(N)ncnc12	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
FCc1cc(ccc1)NC(=O)[C@@](COc1ccc(cc1)NC(=O)C)(C)O	CC(=O)Nc1ccc(OC[C@](C)(O)C(=O)Nc2ccc(c(c2)C(F)(F)F)[N+](=O)[O-])cc1	CC(=O)C1=C(C[C@@H](NC(=O)c2cccccccccccccccccccccccccccc)c))
C(=C\C)\C(=C/CO)\c1nc(c(cn1)OC=N)N1CCOCC1	Oc1cccc(c1)c1nc(N2CCOCC2)c2oc3ncccc3c2n1	NC1Cc2c(nc(N)nc2c1)c1ccc(OCC(=O)O)c(C)c1OC
O=C(N/C=C(\C(=O)NC(CC)C)/C=C(\S)/c1ccccc1)N	NC(=O)Nc1sc(cc1C(=O)N[C@H]1CCCNC1)c1ccccc1	NC(=O)c1cccc(NC(NS(=O)(=O)c2ccc3ccccc3c2)C(=O)O)c1
C1CNCCC1/C=N/C(=C)/C(=C(/CN)\C)/N	CCCN1CCC(CC1)c1nc2cccc(C(=O)N)c2[nH]1	NC1=NC(CC12)c1c(Cc2cn(C)ccc2n1Cc1cncnc1
OC/C(=C\CC(N/C=C/C=C\C=C\C)N)/O	Oc1ccc(cc1O)C1Nc2cccc3cccc(N1)c23	NC(=O)c1cccc(CNC(=O)c2c(cnn2c1)c1ccccc1
C(=C\C=C)\C=C\S(=O)(=O)N(/C=C/C=C(/C(CF)(C(F)(F)F)O)\C)CC(F)(F)F	OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c1ccccc1)(C(F)(F)F)C(F)(F)F	OC(=O)C1=C(C)(C)N(C(=O)(C(F)(F)F)S(=O)(=O)c1ccc(cc1)c1ccc(F)cc1
O/C(=C/CC(N/C=C/C=C\C(=C\C=C)\C)N)/CO	Oc1ccc(cc1O)C1Nc2cccc3cccc(N1)c23	NC(=O)c1cccc(CNC(=O)c2cc12)c1ccccc1c
CNCCCNc1nc(c2c(n1)cc(OCCCCC)c(OC)c2)NCCCNCCCCC	COc1cc2c(NC3CCN(CCCCCN)CC3)nc(NCCCN(C)C)nc2cc1OCCCCCN	COc1cc2n(Cc3cccc(cn3)NC(CCCCCCCCCCCCCCcCcccCcCcccccccCCcCccccC
O=S(C)C/C(=C\C=C/C)/CSCC(=O)N(CCN(C(=C)/C=C\C(=C)OC)C)C	COc1ccc(cc1)N1CCN(CC1)C(=O)c1cc2CS(=O)(=O)c3ccccc3-c2s1	COc1ccc(cc1)S(=O)(=O)C(=O)NCCC(=O)ccOCccccccccccccccccccccccccc
C(C)CCO/C(=N/C=C/C=C\N=C\C/N=C\N(C)C)/N=C	Cn1cnc(c1)c1nccc2c(O)nc(OCCCC(F)(F)F)nc12	CC1cNc2cc(NC(=O)Nc3cnc(cn3)Cc3cnccn2)nc1
c1cc(ccc1)C(=O)/C(=C/C)/C=C\COC/C=C/CNC1CC1	CN(C/C=C/COc1ccc(cc1)C(=O)c1ccc(Br)cc1)C1CC1	OC(=O)C(=O)C(=O)C(=O)c1ccc2c(c1)c2cccccccccccccccccccc
C(=C(\CCl)/C(=O)NC(C=O)CC)\C=C/CC	CCC(NC(=O)c1cccc(c1Cl)C(F)(F)F)C=O	CCC(O)((c1cccc(c1)C(F)(F)F)C(=O)N1CCCC1
C=C/C=C/C/C(=C/c1[nH]nnn1)/Cl	Clc1c(oc2ccccc2c1=O)c1nnn[nH]1	Cc1nc2ccc(Cl)cc2c2[nH]c3c(Cl)cccc3c12
C/C=C(/CCC)\N/C(=C\C#N)/N/N=C/CCNCCCC	CCCc1cc(=O)n2nc(CC(=O)N3CCCC3)c(C#N)c2[nH]1	CC1CcCCcCCccccccccccccccccccccccccCCCCCcCccc1cC
c1ccc(cn1)CN/C=C/C=C/n1nc(cc1)c1cccnc1	CCc1cc(nn1c1ccc(NC(=O)c2cccnc2)cc1)c1cccnc1	Cc1cccccccccccccccccccccccccccccccccccccccccc
Nc1nc(N)ncc1C#CCC/C=C(\C=C)/c1cncnc1	CCc1nc(N)nc(N)c1C#CCc1cccc(c1)c1cncnc1	Cc1nc(Nc((ccncccccccccccccccccccccccccC
C(=C\C=C)(\N=C)/CCC1=CC=NC/C/1=C\C=C	c1[nH]nc(c1c1ccnc2ccccc12)c1ccccn1	O=C(Nc1ccccccccccccccccccccccccccc
OC/C=C(/O)\C(=C)C(O)CC/C=C/C(=C(/O)\C=C)/Cl	CC1(C)CC(C)(Oc2cc(O)c(Cl)cc12)c1cc(Cl)c(O)cc1O	OC(=O)c1cc(cc(Cl)c1O)c1ccc(OCC(=O)O)c(O)c1
CCCCC(CC)NCC(=C)/C=C/C/C(=C\C)/C(=N\N)/C=C/C=C\C	CC1CCC(CC1)NCc1ccc2-c3c(Cc2c1)c(n[nH]3)c1ccc(cc1)C(=O)O	CC(C)C(C1CCCcCcCcccccccccccccccccccccccccccccccccccccc
O/C(=C\N=C)/CN(Cc1ccccc1)C/C=C/C	Nc1ncc(o1)C(=O)N(Cc1ccccc1)Cc1ccccc1	NC(=O)c1cccccccccccccccccccccccccccc
C/C=C(/Cl)\C=C/CNS(=O)/C=C/C=C\C(=C)CNC	OCC1Cc2ccc(cc2CN1)S(=O)(=O)Nc1ccc(Cl)cc1	CN1c2ccc(Cl)cc2C(=O)NCc2c(Cl)cccc2Cl)cc1
N(=C\C(C)OCN/C(=C/C=C)/C)/c1ccccc1	CC(OC(=O)Nc1ccc(Cl)c(Cl)c1)c1nc2ccccc2[nH]1	NC(=O)c1ccccccccccccccccccccccccccc
C(CC)CC(N/C=N\C(=C(\N=C)/N)\C)C(C)O	CCCCCCC(C(C)O)n1cnc2c(N)ncnc12	NC(=O)c1ccc(NCcCCcCcCcCcCcnccccc
c1cc(c2c(cccc2)n2c(CC)c(c(/C=C/C=C)n2)c2ccccc2)cc(OCC(=O)O)c1	CCc1c(c(nn1c1ccccc1c1cccc(OCC(=O)O)c1)c1ccccc1)c1ccccc1	OC(=O)c1cc2c(cccc2cc1cccccccccccccccccccccccccccccccccccccc
C(=C\C(c1ccccc1)CCCN1CCCC1)/C=C\C	OC(CC1c2ccccc2Sc2ccccc12)CN1CCCC1	O=C(NCCCCCCc1ccccccccccccccccccccccccccc
c1ccc(cc1)CNC/C=C/C=C/S(=O)N	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccccc1	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1cccccc1
